什么是表情包？,表达想法或情绪的图标
什么是水管工,安装或修理管道的麻瓜
麻瓜不用下列哪项给房间照明,萤火虫
20世纪40年代麻瓜开始使用某种抗生素以对付各类病痛这种抗生素的名字是1940,青霉素
麻瓜会使用一种名为超音速飞机的交通工具通常来说空气中声音的速度大约是,340ms
麻瓜根据天文学划定时区那么英国魔法部所在的伦敦属于哪个时区,零时区
插头是什么,连接电器和电插座的东西
麻瓜发现了哪种几乎存在于全部生命有机体内的物质含有基因信息,dna
麻瓜使用互联网的目的不包括,抓老鼠
化学是研究什么的学科,物质的结构和化学属性
荧光棒的发光原理是,一种化学反应
机器人是什么,代替人力的机器
导盲犬是麻瓜的好伙伴一只合格的导盲犬不需要拥有什么特征,攻击性强
如果一个麻瓜想出国旅游可能会使用哪种交通工具,飞机
弹跳杆是用来干什么的,上下弹跳
硬盘是什么,存储数据的设备
麻瓜成立世界自然基金会以促进环保事业的发展你知道它的标志是什么动物吗,熊猫
什么是出租车,可租赁的交通工具
麻瓜为了催眠自己会数什么动物,绵羊
麻瓜的扫帚用途不包含下列哪项,飞行
霍格沃茨和阿兹卡班都是不可标绘的地点这是什么意思,它们无法在地图上标出
一名麻瓜前往挪威脊背龙的故乡旅行他不可能看见什么景观,热带雨林
冰箱的发明是如何改变了麻瓜的家庭生活的,它延长了食物保鲜期
麻瓜生物学家研究发现正常人类有多少对肋骨,am12
高压锅是什么,用气压来烹饪食物的用具
麻瓜有时也使用羽毛笔不有谁知道他们可能用哪种羽毛笔,孔雀毛羽毛笔
麻瓜所说的手办指的是什么,玩具模型
麻瓜如果想和某人联络可能会怎么做,给他们打电话
麻瓜经常在鸡尾杯里放置小雨伞请问这是为了,装饰杯子
下列哪项不是麻瓜的着装风格,闷热风
如果麻瓜想要把某物固定在某处他们会用什么,胶水
麻瓜数学家发现三角形的内角和是多少度,180
巫师棋与国际象棋规则相似请据此猜测国际象棋的棋子总数,32
伐木工是什么,砍伐并加工树木的麻瓜
麻瓜常常使用手机进行联系请问世界上第一部商业化手机是在什么时候被发明的,20世纪
晨露是一种魔药材料庆麻瓜认为它的形成是由于,凝结
麻瓜把幼发拉底河与什么河流之间的广土地称之为两河流域,底格里斯河
巫师的无线网络是利用什么麻瓜技术播报新闻的,收音机
水杯中的羽毛笔看起来好像折断了麻瓜对这种现象的解释是,光的折射
麻瓜在哪里购买非处方药,药房
下列哪项不是麻瓜的乐器,电锯
麻瓜作家儒勒凡尔纳的小说描绘了精彩的科幻世界以下哪部不是他的作品,三体
扩音器是什么,放大声音的设备
国际巫师联合会保密法第73条不包括下述哪项73,哑炮
有谁知道木卫二上覆盖着什么,冰雪
兽医是什么,治疗生病或受伤动物的麻瓜
麻瓜用什么来传递包裹,邮递员
以下哪个选项是麻瓜音乐家贝多芬的作品,月光奏鸣曲
根据麻瓜地理学家的划分位于多少纬度之间的区域称之为南极地区,6634s90s
麻瓜的挂钟和巫师的挂钟不同以下哪个是麻瓜挂钟不能告知的信息,家人的状态
管弦乐曲牧神午后是哪位麻瓜音乐家创作的,克罗德德彪西
下列哪项不是麻瓜剧作家威廉莎士比亚的作品,俄狄浦斯王
高达828米的哈利法塔凝聚着麻瓜建筑学的智慧你知道它位于哪个城市吗828,迪拜
麻瓜发现一般情况下一天中哪个时候气温最高,下午2点2
哈士奇是一种很受麻瓜欢迎的宠物院除了陪伴人类以外它一般还被用作,雪机犬
麻瓜用什么邮寄信件,邮递员
何种麻瓜技术能从视觉上模拟环境,vr
下列哪项不是导致中世纪结束文艺复兴开始的因素,霍格沃茨建校
是谁在打雷的时候用风筝和金属钥匙做实验从而领悟了电的科学奥秘,本杰明富兰克林
什么是灯泡,把电转变成光的装置
麻瓜研究发现猫头鹰的头部可以旋转多少度,270
圆的周长与直径的比值被称为圆周率它是一个,无限不循环小数
麻瓜的生活离不开电以下麻瓜世界常见物品中哪种不是绝缘体,金属
什么是因特网,相互连接的电脑网络系统
魔法所位于硫磺岛以南谁知道硫磺岛属于麻瓜分类中的什么岛屿,火山岛
开罐器是什么,用来打开罐头的设备
