“甘普基本变形法则”五大例外中的第一项是什么？,不可能凭空变出美味佳肴
卢娜的父亲是哪份报纸的主编？,《唱唱反调》
卢娜的守护神是什么？,可爱的兔子
卢娜认为哪种植物可以用于驱赶大嘴彩球鱼？,戈迪根
卢娜通过防妖眼镜可以看到什么？,骚扰虻
卢平告诉哈利·波特什么东西可以解除摄魂怪带来的负面情绪？,巧克力
卢平教授使用什么药水让自己变身时保持理智？,狼毒药剂
卢平教授原以为哈利的博格特会变成什么形态？,伏地魔
卢平教授在哈利·波特几年级时来霍格沃茨教授黑魔法防御课？,三年级
卢平教授最后和谁结婚了？,尼法朵拉·唐克斯
伦敦最出名的魔法报纸是什么？,《预言家日报》
罗恩·韦斯莱曾经把什么生物伪装成了自己？,食尸鬼
罗恩·韦斯莱曾在格兰芬多魁地奇球队打什么位置？,守门员
罗恩·韦斯莱的第一根魔杖是怎么坏掉的？,被打人柳打断
罗恩·韦斯莱的猫头鹰小猪原来叫什么名字？,朱薇琼
罗恩·韦斯莱的守护神是什么？,杰克拉塞尔猎狗
罗恩·韦斯莱还缺巧克力蛙动画片的哪两位？,康奈利·阿格丽芭和波托勒米
罗恩·韦斯莱家里的大钟有什么用途？,显示家人的状态
罗恩·韦斯莱因为巫师棋胜利为格兰芬多加了多少分？,50
罗恩·韦斯莱最喜欢的魁地奇球队是什么队？,查德里火炮队|恰德利火炮
罗恩的第一个女朋友叫什么？,拉文德·布朗
罗恩的耗子叫什么名字？,斑斑
罗恩的猫头鹰叫什么名字？,小猪
罗恩胳膊被分体时赫敏用的什么魔药？,白鲜香精
罗恩幻影移行分体后，赫敏用了什么治疗他的伤口？,白鲜香精
罗恩一家曾经在赢得大奖后去哪里旅游？,埃及
洛夫古德家看起来像是巫师棋中的哪个棋子？,城堡
洛哈特教授曾在黑魔法防御课上，把什么神奇生物放了出来？,康沃尔郡小精灵
洛哈特最喜欢的颜色是什么？,丁香色
罗斯默塔夫人把施了毒咒的宝石项链给了谁？,凯蒂·贝尔
马尔福用于诅咒邓布利多的项链最后让谁遭受了诅咒？,凯蒂·贝尔
马人费伦泽曾在霍格沃茨教授哪一门课程？,占卜课
麦格教授曾是哪个学院的院长？,格兰芬多
麦格教授的阿尼马格斯形态是什么？,虎斑猫|虎纹猫
麦格教授认为霍格沃茨最不准确的学科是什么？,占卜学
麦格教授认为最危险的学科是什么？,变形术|变形学
麦格教授是哪门课的老师？,变形课
猫头鹰爱好者们，知道哈利的猫头鹰海德薇是什么品种吗？,雪鸮
猫头鹰爱好者请听题，埃罗尔是谁的猫头鹰？,韦斯莱一家
猫头鹰是值得信赖的宠物，有谁知道哈利·波特的猫头鹰叫什么？,海德薇
美国的巫师称非魔法群体为什么？,麻鸡
美国的伊法魔尼魔法学校由谁的后人创建？,斯莱特林
梅洛普·刚特将斯莱特林挂坠盒卖了多少钱？,10加隆
米布米宝被刺激后会喷出什么？,臭汁
米勒娃·麦格年轻时的恋人和她的父亲一样是一位？,麻瓜
密室最初的用途是什么？,教授黑魔法|教授黒魔法
冥想盆里的物质是什么样子的？,非液体非气体
魔法部的魔法兄弟喷泉不包含以下哪种雕塑？,火龙
魔法部将一种生物定级为X级时，意味着什么？,有能力的巫师可以战胜
魔法部将一种生物定级为XXX级时，意味着什么？,有能力的巫师可以战胜
魔法法律执行司内审判被控犯罪的巫师的组织名称是什么？,威森加摩
魔法石曾被存放于古灵阁的几号金库？,713号
魔法史课上，同学们总是把恶魔埃默里克和谁搞混？,怪人尤里克
魔法石可以带来什么？,永生
魔法石是什么颜色的？,红色
摩金夫人在对角巷开了一家什么店？,长袍店
哪本书不是丽塔·斯基特的著作？,《糊弄麻瓜的简单法术》
哪本书上有复方汤剂的配制方法？,《强力药剂》
哪副画像守护着格兰芬多公共休息室的入口？,胖夫人
哪个电台播放了反对伏地魔的节目？,波特瞭望站
哪个故事没有被收录在《诗翁彼豆故事集》中？,巫师的飞天扫把
哪个家族喜欢在家养小精灵老的时候，把他的头砍掉挂到墙壁上？,布莱克家族
哪个来自禁林的马人成为了霍格沃茨的教授？,费伦泽|佛罗伦萨
哪个咒语不是混血王子发明的？,无声无息
哪里可以买到双头无尾水螈？,神奇动物商店
哪所魔法学校只招收纯血巫师？,德姆斯特朗魔法学校
纳威·隆巴顿的宠物蟾蜍的名字是什么？,莱福
纳威·隆巴顿父母曾经担任什么职位？,傲罗
纳威·隆巴顿教授刚到霍格沃茨读书时，他想被分到哪个学院？,赫奇帕奇
纳威·隆巴顿教授最擅长的科目是什么？,草药学
哪些人目睹了多洛雷斯·乌姆里奇将海格开除？,正在考天文学普通巫师等级考试的学生们
那些通过抓捕麻瓜出生者或所谓“血统叛徒”来换取金钱的人被称为什么？,搜捕队员
哪一本书不在霍格沃茨一年级新生的书单里？,《基础魔药学》
哪一个魔法道具不是韦斯莱孪生兄弟的发明？,变热假加隆
哪一门学科研究的是数学（数字）的魔力？,算数占卜
哪一位教授之前曾是一位决斗大师？,弗立维教授
哪一位人物没有在莫莉·韦斯莱的博格特中出现过？,赫敏·格兰杰
哪一位妖精协助哈利·波特从古灵阁获取了魂器？,拉环
哪一项是大众认可的赫奇帕奇学院的特质？,忠诚
哪一种翠绿色的药水会让人产生恐惧和幻觉？,绝望药水
哪一种刊物被指刊登阴谋论和虚构生物？,《唱唱反调》
哪一种龙被认为是最美的龙？,澳洲蛋白眼
哪一种魔药中含有毛虫切片？,缩身药水
哪一种神奇生物被称为爱尔兰凤凰？,卜鸟
哪一种神奇生物被麻瓜们称为渡渡鸟？,球遁鸟
哪一种神奇生物的鸣叫可以让人发疯？,恶婆鸟
哪一种神奇生物有人的头、狮子的身体和蝎子的尾巴？,人头狮身蝎尾兽
哪一种神奇生物有狮子的头、山羊的身体和龙尾巴？,客迈拉兽|客迈拉鲁
哪一种药材会让碰到的人皮肤上长出厚厚的硬皮？,肉瘤粉
哪种魔法生物像家猫？,猫狸子
尼法朵拉·唐克斯的头发一般是什么颜色？,泡泡糖粉
尼法朵拉·唐克斯有什么特殊的魔法能力？,易容马格斯
尼可·勒梅曾在哪里上学？,布斯巴顿魔法学院
你能在哪条路上找到博金-博克商店？,翻倒巷
纽特·斯卡曼德的上衣口袋里经常揣着哪种神奇动物？,护树罗锅
纽特·斯卡曼德离开霍格沃兹时，他的变形学教授反对学校的惩戒结果使他得以保留魔杖，请问这位教授是？,阿不思·邓布利多
纽特·斯卡曼德去纽约是为了送哪种动物回家？,雷鸟|雷乌
纽特·斯卡曼德在纽约结识的麻瓜是谁？,雅各布·科瓦尔斯基
纽特的伙伴皮克特是哪种神奇生物？,护树罗锅
纽特受了什么启发开始对魔法动物感兴趣？,他母亲养的鹰头马身有翼兽
女贞路上出现了多少只摄魂怪袭击哈利和达力？,2
胖夫人是哪个学院休息室门口的画像？,格兰芬多
佩妮·德思礼曾给莉莉·波特寄去过哪件礼物？,花瓶
珀西·韦斯莱曾在旧杂货铺里阅读什么书？,《级长怎样获得权力》
奇洛教授第一次遇到伏地魔是在哪儿？,阿尔巴尼亚的黑森林
奇落教授用了哪种乐器使路威放松警惕？,被施了魔法的竖琴
骑士公共汽车的售票员叫什么名字？,斯坦利·桑帕克
前黑魔法防御课老师吉德罗·洛哈特最擅长的咒语是什么？,一忘皆空
前几几年奥利凡德家族开始经营魔杖制造事业？,前382年
"请问""黏痰过多""里的粘痰指的是？,芙蓉·德拉库尔",|芙蓉·德拉库尔
请问复方汤剂的配方没有以下哪一样？,粉碎蛇的毒牙
请问老魔杖的第一代主人是谁？,安提俄克·佩弗利尔
请问隆巴顿教授在上学的时候养了什么宠物？,蟾蜍
请问纽特·斯卡曼德给蒂娜·戈德斯坦的情书中写到蒂娜的眼睛像哪种生物？,火蜥蜴
请问学院幽灵格雷女士的原名是？,海莲娜·拉文克劳
请问在第三学年时，哈利·波特用什么样的方式从姨妈家来到对角巷？,乘坐骑士公共汽车
蜷翼魔的毒液经过稀释会有什么效果？,消除不好的记忆
人们常常吧狐媚子误认为什么？,仙子
人们能从厄里斯魔镜中看到什么？,最渴望的事物
人头狮身蝎尾兽在进食的时候会发出什么声音？,一声低吟
人鱼有时会饲养什么神奇生物作为宠物？,格林迪洛
日记中伏地魔的记忆汤姆·马沃罗·里德尔让空中他自己的名字变换了位置，形成了一句话，它是？,我是伏地魔
如果你想摧毁一个魂器，下列哪个物品可能会有帮助？,蛇怪的毒牙
如果有人试图闯入古灵阁713号金库，会发生什么？,被吸入门中
如何向鹰头马身有翼兽打招呼才合适？,鞠躬并等待它主动接近
如何正确地打开一本《妖怪们的妖怪书》？,抚摸书脊|抚損书管
三把扫帚酒吧的女主人是谁？,罗斯默塔女士
三强争霸赛的第一个项目中，芙蓉挑战了什么龙？,威尔士绿龙
三强争霸赛的第一个项目中，哈利挑战了什么龙？,匈牙利树蜂龙
三强争霸赛的第一个项目中，克鲁姆挑战了什么龙？,中国火球
三强争霸赛的第一个项目中，塞德里克挑战了什么龙？,瑞典短鼻龙
三强争霸赛的圣诞舞会上，芙蓉·德拉库尔的舞伴是谁？,罗杰·戴维斯
三强争霸赛第二个项目中谁变成了鲨鱼？,威克多尔·克鲁姆
三强争霸赛期间，谁邀请了赫敏参加舞会？,威克多尔·克鲁姆
三强争霸赛前，谁绑架了疯眼汉穆迪？,小巴蒂·克劳奇
三强争霸赛舞会上，哈利的舞伴是谁？,帕瓦蒂·佩蒂尔
三强争霸赛舞会上，哪支乐队进行了表演？,古怪姐妹
三强争霸赛中使用的龙不包括下列哪一种？,挪威脊背龙
三强争霸赛中谁与哈利·波特一同触碰到奖杯？,塞德里克·迪戈里
三强争霸赛最后一场比赛中，斯芬克司给哈利出的谜题的答案是什么？,蜘蛛
三人组逃亡时，是在谁的帮助下拿到格兰芬多宝剑的？,西弗勒斯·斯内普
三头犬路威的弱点是什么？,听到音乐就会入睡
三头犬路威守护的东西是什么？,魔法石
闪闪原先是谁的家养小精灵？,巴蒂·克劳奇
什么草药有强大的治愈效果？,白鲜
什么导致麦格教授曾被送去圣芒戈魔法伤病医院？,她被四发昏迷咒击中
什么东西能重现记忆？,冥想盆
什么行为会导致魔法交通司对无此证件的巫师进行惩罚？,幻影显形
什么黑暗的人工制品能在黑暗中提供光明？,光荣之手
什么黑魔法物品是盗贼之友？,光荣之手
什么可以让魔鬼网的藤蔓停止不动？,强光
什么毛茸茸的东西高兴时发出嗡嗡声，还喜欢把长舌头伸到巫师的鼻子里？,蒲绒绒
什么魔法道具可以帮助格兰芬多的学生？,格兰芬多宝剑
什么魔法生物喜欢闪亮的东西？,嗅嗅
什么魔法物品可以用于制造长生不老药？,魔法石
什么魔法物品用于挑选三强争霸赛选手？,火焰杯
什么魔法游戏用大理石一样的东西？,高布石游戏
什么魔法游戏与麻瓜的弹子游戏类似？,高布石游戏
什么神奇的植物会有漂浮的果实？,飞艇李|飞船李子
什么神奇生物的皮比龙更坚硬，而且可以挡住大部分的咒语？,角驼兽|角駝兽
什么神奇生物可以产生引人伤感的糖蜜？,伤心虫
什么神奇植物的果实会颠倒着悬挂在灌木上？,飞艇李
什么生物被认为是保护神奇生物课上最无聊的生物？,弗洛伯毛虫
什么生物的背部覆盖着海葵般的触须？,莫特拉鼠
什么生物会以人最害怕的形态出现？,博格特
什么生物能在“最黑暗、最肮脏的地方”被找到？,摄魂怪
什么生物以人脑为食，并帮助纽特·斯卡曼德逃离了美国魔法国会？,蜷翼魔
什么生物只有面对过死亡的人才能看见？,夜骐
什么是给曼德拉草换盆时的必要道具？,耳罩
什么物品会显示人们心中最深的渴望？,厄里斯魔镜|厄里斯魔镇
什么物品会在不怀好意的人接近时响起来？,窥镜
什么物品会在格兰芬多人危急时出现？,格兰芬多宝剑|格兰骄多宝剑
什么物品可以检测出隐藏的魔法物品或隐藏咒？,诚实探测器
什么样的人才能看到夜骐？,目睹过死亡
什么样的巫师才能驾驭用夜骐尾毛做杖芯的魔杖？,直面过死亡的人
什么纸牌游戏在霍格沃茨很受欢迎？,噼啪爆炸牌
什么植物在受到刺激时会喷出臭汁？,米布米宝
圣芒戈魔法伤病医院的院徽是什么？,魔杖和骨头交叉|魔杖和两个相交叉的骨头
圣芒戈魔法伤病医院位于哪里？,伦敦
圣芒戈中的一个牌子上写着：干净的坩埚可以让魔药不变成什么？,毒药
失败的幻影移形可能会导致什么？,分体
时间转换器每转一次能回到多久以前？,一个小时
世界上一共有几所魔法学校？,11|十一所
是什么神奇动物启蒙了纽特·斯卡曼德？,纽特妈妈养的鹰头马身有翼兽
是谁创建了S·P·E·W·——家养小精灵权益促进会吗？,赫敏·格兰杰
是谁告诉哈利有密室的？,多比
是谁告诉了哈利·波特巧克力可以缓解摄魂怪带来的负面情绪？,莱姆斯·卢平
是谁给韦斯莱双胞胎第一笔开店的资金？,哈利·波特
是谁将德拉科·马尔福变成白鼬的？,小巴蒂·克劳奇
是谁将写有哈利·波特名字的纸条投入了火焰杯中？,小巴蒂·克劳奇|小巴帯·克劳奇
是谁开启了消失的密室？,金妮·韦斯莱
是谁杀死了拉文德·布朗？,芬里尔·格雷伯克
是谁使用了时间转换器来应对多门选修课？,赫敏·格兰杰
是谁写了《神奇动物在哪里》并要去找它们？,纽特·斯卡曼德
是谁在第二次巫师大战期间利用双面镜帮助了哈利·波特？,阿不思福·邓布利多|同不福思·邓布利多
是谁最先找到了斯莱特林的挂坠盒？,雷古勒斯·布莱克
食死徒的手臂上纹着什么图案？,黑魔标记
受到摄魂怪的袭击后，食用哪种食物可以有效缓解？,巧克力
谁把汤姆·里德尔的日记本放到了金妮的坩埚里？,卢修斯·马尔福
谁帮助了哈利、罗恩和赫敏溜进了古灵阁？,拉环
谁曾经被鲁伯·海格释过变形咒？,达力·德思礼
谁曾是魔法部派往霍格沃茨的高级调查官？,多洛雷斯·乌姆里奇
谁曾因为喝下了错误的复方汤剂变成了猫人？,赫敏·格兰杰
谁曾在魁地奇比赛中，戴了一顶狮头形状还会吼叫的帽子？,卢娜·洛夫古德
谁摧毁了伏地魔的最后一个魂器？,纳威·隆巴顿
谁导致了巴克比克被判死刑？,卢修斯·马尔福
谁的办公室曾经使用过“柠檬雪宝糖”这个口令？,邓布利多教授
谁的挂坠成了伏地魔的魂器？,萨拉查·斯莱特林
谁的冠冕成了伏地魔的魂器？,罗伊纳·拉文克劳
谁的魔眼能看穿墙壁？,阿拉斯托·穆迪
谁第一个告诉哈利，他是一个巫师？,海格
谁发明了咒语“神锋无影”？,西弗勒斯·斯内普
谁告诉了哈利、罗恩、赫敏死亡圣器的故事？,谢诺菲留斯·洛夫古德
谁还记得哈利·波特的第一根魔杖有多长？,11英寸
谁和哈利一起参加了斯拉格霍恩教授的圣诞晚会？,卢娜·洛夫古德
谁假冒了真正的阿拉斯托·穆迪作为三强争霸塞那年霍格沃茨的黑魔法防御术教授？,小巴蒂·克劳奇|小巴帯·克劳奇
谁教会了哈利·波特守护神咒？,卢平
谁能告诉我，高布石像麻瓜的哪种游戏？,弹球
谁能说出粪石取自何处？,山羊的胃
谁派多比前往马尔福庄园的地窖解救了哈利·波特和他的朋友们？,阿不福思·邓布利多
谁是布莱克家族的家养小精灵？,克利切
谁是哈利·波特入学第一学期魁地奇队长？,奥利弗·伍德
谁是哈利的第三任黑魔法防御术老师？,莱姆斯·卢平
谁是霍格沃茨的钥匙和场地管理员？,鲁伯·海格
谁死在了英国魔法部神秘事务司的帷幔后面？,小天狼星·布莱克
谁调换了伏地魔藏在岩洞中的斯莱特林挂坠盒？,雷古勒斯·布莱克
谁为了误导魔法部对小天狼星·布莱克的搜捕方向说他曾经出现在西藏？,金斯莱·沙克尔
谁为学院魁地奇队采购了全部的扫帚？,卢修斯·马尔福
谁诬陷海格打开了密室？,汤姆·里德尔
水仙根粉末加入艾草浸液会得到什么？,生死水
水仙根粉末加入什么植物的浸液会得到生死水？,艾草
谁养了一只叫洛丽丝夫人的猫？,阿格斯·费尔奇|费尔奇
谁用的魔杖杖芯材料是巨怪的胡须？,卡多根爵士|卡多根附士
谁用假挂坠替换了岩洞中的真挂坠？,雷古勒斯·布莱克
谁预言了一个七月出生的男孩将挑战伏地魔？,西比尔·特里劳妮
谁在阿拉戈克的葬礼上发表了讲话？,霍拉斯·斯拉格霍恩
谁在二年级时折断了自己的魔杖？,罗恩·韦斯莱
谁在哈利·波特额头上留下了闪电疤痕？,伏地魔
谁在湖中心盛满药水的盆中藏了假挂坠盒？,雷古勒斯·布莱克
谁在霍格沃茨第一学年就对纳威·隆巴顿释放过石化咒？,赫敏·格兰杰
谁在霍格沃茨特快列车上对哈利施了全身束缚咒？,德拉科·马尔福
谁在危机时刻赶到密室帮助了哈利？,福克斯
谁终结了贝拉特里克斯·莱斯特兰奇？,莫丽·韦斯莱
谁终结了纳吉尼？,纳威
说出霍格沃茨经常出没的捣乱分子的名字？,皮皮鬼
斯拉格霍恩创办了什么协会？,鼻涕虫俱乐部
斯拉格霍恩教授是哪一个学院的院长？,斯莱特林
斯拉格霍恩教授最喜欢的食物是什么？,菠萝蜜饯|陵梦蜜饯
斯莱特林的学院幽灵是谁？,血人巴罗
斯莱特林公共休息室位于哪里？,地下室
斯莱特林学生曾用哪首歌嘲讽罗恩·韦斯莱？,《韦斯莱是我们的王》
斯内普的守护神咒和谁的一样？,莉莉·伊万斯
斯内普告诉哈利什么药材可以解毒？,粪石
斯内普和谁立下了牢不可破的誓言？,纳西莎·马尔福
斯内普教授的守护神是什么形态？,牝鹿|牝嘉
斯内普教授心中最重要的人是谁？,莉莉·伊万斯
斯内普教授最想教授什么课程？,黑魔法防御课
斯普劳特教授是哪个学院的院长？,赫奇帕奇
斯普劳特教授用成熟的什么救了密室中被蛇怪石化的学生们和洛丽丝夫人？,曼德拉草
斯普劳特教授在霍格沃茨教授哪门课程？,草药学|草药课
死亡三圣器的传说来自于什么故事？,《三兄弟的传说》|《三兄第的传说》
汤姆·里德尔在孤儿院时把谁的兔子吊在了天花板上？,比利·斯塔布斯
桃金娘是被谁杀死的？,蛇怪
桃金娘因什么生物而死？,蛇怪
特里劳妮教授在哈利的茶杯垫见到了什么？,黑狗
特里劳妮教授在霍格沃茨教授什么课程？,占卜课
听说卢娜·洛夫古德女士总穿着鞋睡觉，大家知道为什么吗？,她会梦游
通过魔法石的关卡中，巫师棋这一关是谁设置的？,麦格教授
弯角鼾兽可以在哪里被发现？,瑞典
伟大的阿不思·邓布利多教授全名是什么？,阿不思·珀西瓦尔·伍尔弗里克·布赖恩·邓布利多
维克多教授在霍格沃茨教哪一门课程？,算数占卜
为了和哈利一起去寻找魂器，罗恩改造了什么生物来扮演像得了散花痘的自己？,食尸鬼
为了转移哈利·波特，凤凰社的成员们使用了哪种魔药？,复方汤剂
为什么霍格沃茨有些学生没有因为蛇怪而亡，只是被石化了？,间接看到的蛇怪
为什么一年级后的那个暑假哈利没有收到一封信？,多比拦截了信件
为什么最初学生们怀疑哈利是斯莱特林的后代？,他会说蛇佬腔
韦斯莱夫人从没觉得谁会死去？,弗雷德
韦斯莱家兄弟排名第五的是谁？,乔治·韦斯莱
韦斯莱魔法把戏坊在对角巷第几号？,93号
韦斯莱魔法把戏坊最大的投资者是谁？,哈利·波特
韦斯莱双胞胎在谁的办公室抽屉发现了活点地图？,阿格斯·费尔奇
韦斯莱速效逃课糖会让食用者怎么样？,看上去生病了
韦斯莱太太曾给哈利织过什么颜色的毛衣？,蓝色
韦斯莱兄弟准备怎么跨过火焰杯的年龄线？,使用增龄剂
韦斯莱一家去德斯礼家接哈利看世界杯赛时使用了什么移动方式？,飞路网
乌姆里奇的黑魔法防御课使用的课本是什么？,《魔法防御理论》
巫师卡中“卑鄙的海尔波”培育出了什么神奇生物？,蛇怪
乌头又被称为舟形乌头和什么？,狼毒乌头
西弗勒斯·斯内普担任校长的时候，斯莱特林的院长是谁？,霍拉斯·斯拉格霍恩
西弗勒斯·斯内普的母亲是哪位家族的后代？,普林斯家族
西弗勒斯·斯内普教授的母亲叫什么？,艾琳·普林斯
西弗勒斯·斯内普少年时代曾被自己发明哪种咒语所捉弄？,倒挂金钟
西弗勒斯·斯内普死后的下一任魔药学教授是？,霍拉斯·斯拉格霍恩
西弗勒斯·斯内普误伤乔治·韦斯莱的神锋无影其实是为了保护谁？,莱姆斯·卢平|莱姆斯·产平
西弗勒斯·斯内普学生时代被起什么外号？,鼻涕精
西弗勒斯·斯内普幼时的家在哪条街上？,蜘蛛尾巷
西弗勒斯·斯内普在旧《高级魔药制作》课本里曾署名什么？,混血王子
西弗勒斯·斯内普最后死于哪里？,尖叫棚屋
喜欢读杂志的同学，有人知道哈利的表哥叫什么名字吗？,达力
西莫·斐尼甘的守护神是什么？,狐狸
下列哪本书是魔法界的著名漫画？,《疯麻瓜马丁·米格斯历险记》
下列哪个房间不属于英国魔法部神秘事务司？,憎恨厅|憎恨之屋
下列哪个家族不住在奥特里·圣卡奇波尔村附近？,隆巴顿家
下列哪个人不是拉文克劳学院的学生？,金妮·韦斯莱
下列哪一个不属于神圣二十八族（纯血家族联盟）？,格兰杰
下列哪一个词不适合描述海格的狗——牙牙？,勇敢
下列哪一家店没有开在对角巷？,三把扫帚酒吧
下列哪一位不是霍格沃茨的创始人？,海莲娜·拉文克劳
下列哪一种不是常见的坩锅材料？,镍
下列哪一种不属于巫师钱币？,多布隆
下列哪一种甜点会把舌头烧出一个洞？,酸味爆爆糖
下列哪种魔法界出版物中谈及过弯角鼾兽？,《唱唱反调》
下列哪种神奇生物生性高傲，被有礼貌地对待才不会生气？,鹰头马身有翼兽
下列哪种生物不是龙？,芬兰喷火兽
下列哪种生物不住在黑湖种？,尼斯湖水怪
下列哪种生物主动要求被视作野兽？,马人
下列人物中，谁曾担任过霍格沃茨麻瓜研究的老师？,阿莱克托·卡罗
下列人物中，谁头发会随着心情变色？,尼法朵拉·唐克斯
下列人物中哪一个不是活点地图的制作者？,亚瑟·韦斯莱
下列人物中谁不是哈利·波特的同学？,芙蓉·德拉库尔
下列四人中，谁是在魔法部登记的合法阿尼马格斯？,米勒娃·麦格
下列四人中谁曾试图对哈利使用爱情魔药？,罗米达·万尼
下列物品中哪一个不是韦斯莱魔法把戏坊的产品？,酸味爆爆糖
下列物品中哪一个不属于魁地奇装备？,守门员的篮筐
下列物品中哪种不是韦斯莱魔法把戏坊的产品？,酸味爆爆糖
下列选项中，最爱捣蛋的是谁？,皮皮鬼
下列选项中哪个不是伏地魔的魂器？,老魔杖
下列选项中哪一个不属于巨怪类型？,桥
下列选项中谁不是活点地图的创造者？,疯眼
下列与小天狼星·布莱克无血缘关系的是？,罗道夫斯·莱斯特兰奇
下列咒语哪个不属于不可饶恕咒？,遗忘咒：一忘皆空
下面哪一项是阿不思·邓布利多的著名学术成就？,发现龙血的十二种用途
现存最强劲的爱情魔药是什么？,迷情剂
想要成为傲罗，至少需要获得几个良好评价以上的N·E·W·Ts证书？,5个
想要进入拉文克劳公共休息室，你需要先做什么？,解出谜语
想要进入魔法部，需要在伦敦红色电话亭中拨打的号码是多少？,62442
小矮星彼得变成过什么动物？,老鼠
小矮星彼得在伏地魔复活后还剩几根手指？,5
小巴蒂·克劳奇的标志性动作是什么？,吐舌头
小天狼星·布莱克的家族座右铭？,永远纯洁
小天狼星·布莱克的外号有人知道吗？,大脚板
小天狼星·布莱克的祖宅位置在哪里？,格里莫广场12号
小天狼星·布莱克来自哪个学院？,格兰芬多
小天狼星·布莱克骑着什么动物逃离了抓捕？,鹰头马身有翼兽
小天狼星·布莱克是从什么地方知道小矮星彼得的行踪？,预言家日报
小天狼星·布莱克在魔法部哪个部门的战役中被贝拉特里克斯·莱斯特兰奇杀死？,神秘事务司
小天狼星在谁的帮助下进入了格兰芬多塔楼？,克鲁克山
校医院的庞弗雷女士曾使用什么药水治疗被石化的学生？,曼德拉草复活药剂
谢诺菲留斯·洛夫古德认为比利威格虫的翅膀能引发什么？,导入高级思维状态
谢诺菲留斯·洛夫古德认为飞艇李可以加强人对什么什么东西的感知能力？,异常事物
血人巴罗杀害了谁？,海莲娜·拉文克劳
辛尼斯塔教授在霍格沃茨教哪一门课程？,天文学
学期结束时，学院分最高的学院会赢得什么荣誉？,学院杯
学生们在课上被毒触手攻击可以做什么？,大声念咒
学生时期，赫敏增用万弹齐发攻击过罗恩，你们知道为什么吗？,他亲了拉文德·布朗
学生时期的伏地魔汤姆·里德尔被分到哪个学院？,斯莱特林
学生时期的鲁伯·海格在地牢养大了一只八眼巨蛛，它的名字叫？,阿拉戈克
学生时期哈利的职业规划是什么？,傲罗
学生时期西莫·斐尼甘的博格特形态是什么？,女鬼
学院幽灵差点没头的尼克的本名叫什么？,尼古拉斯·德·敏西-波平顿
学院幽灵中是谁一直反对将皮皮鬼赶出霍格沃茨？,胖修士
训练邓布利多军成员时，哈利说哪个咒语是巫师的必备咒语？,昏迷咒
亚瑟·韦斯莱在遭到纳吉尼攻击后被送去了哪里？,圣芒戈魔法伤病医院
研究神奇动物的巫师叫什么？,神奇动物学家
一次阿兹卡班越狱事件中，谁吓得胖夫人逃出了画框？,小天狼星·布莱克
一次魁地奇比赛中，哈利·波特骨折后谁给他使用了生骨灵？,庞弗雷女士
一段往事，谁杀了格雷女士？,血人巴罗
一个有趣的问题，先有火焰，还是先有凤凰？,循环往复，没有起点
一件趣事，学生时期隆巴顿教授博格特形态是什么？,斯内普教授
一年级时，赫敏·格兰杰装在瓶子里的火焰是什么颜色的？,蓝色
以前英国魔法部部门间使用的通讯工具是什么？,猫头鹰
一群护树罗锅被叫作什么？,一个分支
以下哪本书不是吉德罗·洛哈特要求的教科书？,《与无脸妖同船旅行》
以下哪个不是阿不思·邓布利多曾用过的办公室口令？,南瓜汁
以下哪个头衔或身份不曾被哈利·波特拥有过？,S·P·E·W财务总管
以下哪一本书是哈利·波特一年级书单没有的？,《基础魔药学》
以下哪一个学生跟哈利不是同级？,科林·克里维
以下哪一位能和哈利·波特一样看到夜骐呢？,卢娜·洛夫古德
以下哪一位是罗恩·韦斯莱在四年级时圣诞舞会上的舞伴？,帕德玛·佩蒂尔
以下哪种材料可以治疗顽固性粉刺？,巴波块茎的脓水
以下哪种动物是地精的天敌？,土扒貂
以下哪种是狐媚子灭迹中的成分？,斑地芒
以下人物中哪一位不是阿尼马格斯？,纳吉尼
以下谁和鲁伯·海格一样是一位混血巨人？,马克西姆夫人
以下谁是默然者？,克莱登斯·巴瑞波恩
以下四个人物谁不是阿尼马格斯？,纳西莎·马尔福
以下四人谁没有参加过三强争霸赛？,弗雷德
因弗农姨夫出言不逊，海格让达利长出来什么尾巴？,猪尾巴
隐匿怪是隐形兽与谁结合的后代？,食尸鬼
英国魔法部的来宾入口是什么建筑物？,电话亭
英国魔法部高级法院的组织名称叫什么？,威森加摩
英国魔法部魔法兄弟喷泉中不包括下列哪种生物？,狐媚子
英国魔法部使用什么方式取代了猫头鹰传递信息？,纸飞机
鹰头马身有翼兽巴克比克回到霍格沃茨后，海格给他取了一个新名字，是什么？,威瑟温斯
用来学院记分的沙漏里面装的是什么？,宝石
诱饵炸弹有什么用？,吸引火力
有几个人曾是伏地魔认为的天选之子？,2
有了解赫敏·格兰杰的同学吗?考考你，她的猫叫什么?,克鲁克山
幽灵血人巴罗喜欢的女孩是谁？,海莲娜·拉文克劳
由哪一种杖芯制成的魔杖很难驾驭但是却很适合用于变形？,雷鸟的尾羽
有求必应屋附近的挂毯上巨怪穿着什么？,芭蕾舞裙
有求必应屋在城堡的几楼？,8楼
有人好奇卢平教授的博格特形态是什么吗？,满月
有人认识格洛普吗？他是谁？,海格同母异父的弟弟
有人知道，罗恩·韦斯莱的父亲亚瑟·韦斯莱在哪里工作吗？,魔法部
有人知道赫敏父母的职业是什么吗？,牙医
有人知道是什么让纳吉尼变成一条蛇吗？,血咒
